Trees,People
"126,000,000","733,406"
"63,000,000","30,500,000"
"23,000,000","1,133,000"
"24,000,000","11,030,000"
"24,500,000","5,878,000"
"23,000,000","5,108,000"
"22,000,000","7,813,000"
"4,800,000","1,402,000"
"12,200,000","1,770,000"
"4,600,000","647,464"
"13,100,000","5,374,000"
"24,800,000","11,030,000"
"19,500,000","2,940,000"
"17,700,000","1,396,000"
"33,000,000","38,970,000"
"30,000,000","4,233,000"
"24,700,000","7,431,000"
"18,600,000","7,431,000"
"2,000,000","1,978,000"
"18,600,000","8,238,000"
"1,753,085","3,617,000"
"62,404,000","584,057"
"16,000,000","5,911,000"
"5,200,000","2,941,000"
"3,000,000","3,201,000"
"4,832,549","12,550,000"
